basin_id,year,expected_days,valid_days,valid_runoff_days,q_completeness,runoff_completeness
07067000,1999,365,361,361,0.989041095890411,0.989041095890411
07067000,2000,366,347,347,0.9480874316939891,0.9480874316939891
07067000,2001,365,355,355,0.9726027397260274,0.9726027397260274
07067000,2002,365,356,356,0.9753424657534246,0.9753424657534246
07067000,2003,365,363,363,0.9945205479452055,0.9945205479452055
07067000,2004,366,363,363,0.9918032786885246,0.9918032786885246
07067000,2005,365,335,335,0.9178082191780822,0.9178082191780822
07067000,2006,365,337,337,0.9232876712328767,0.9232876712328767
07067000,2007,365,330,330,0.9041095890410958,0.9041095890410958
07067000,2008,366,342,342,0.9344262295081968,0.9344262295081968
07067000,2009,365,352,352,0.9643835616438357,0.9643835616438357
07067000,2010,365,353,353,0.9671232876712329,0.9671232876712329
07068000,1995,365,256,256,0.7013698630136986,0.7013698630136986
07068000,1996,366,287,287,0.7841530054644809,0.7841530054644809
07068000,1997,365,322,322,0.8821917808219178,0.8821917808219178
07068000,1998,365,349,349,0.9561643835616438,0.9561643835616438
07068000,1999,365,334,334,0.915068493150685,0.915068493150685
07068000,2000,366,344,344,0.9398907103825137,0.9398907103825137
07068000,2001,365,341,341,0.9342465753424658,0.9342465753424658
07068000,2002,365,278,278,0.7616438356164383,0.7616438356164383
07068000,2003,365,338,338,0.9260273972602739,0.9260273972602739
07068000,2004,366,346,346,0.9453551912568307,0.9453551912568307
07068000,2005,365,339,339,0.9287671232876712,0.9287671232876712
07068000,2006,365,308,308,0.8438356164383561,0.8438356164383561
07068000,2007,365,334,334,0.915068493150685,0.915068493150685
07068000,2008,366,337,337,0.9207650273224044,0.9207650273224044
07068000,2009,365,330,330,0.9041095890410958,0.9041095890410958
07068000,2010,365,362,362,0.9917808219178083,0.9917808219178083
07071500,1995,365,239,239,0.6547945205479452,0.6547945205479452
07071500,1996,366,295,295,0.8060109289617486,0.8060109289617486
07071500,1997,365,346,346,0.947945205479452,0.947945205479452
07071500,1998,365,353,353,0.9671232876712329,0.9671232876712329
07071500,1999,365,357,357,0.9780821917808219,0.9780821917808219
07071500,2000,366,354,354,0.9672131147540983,0.9672131147540983
07071500,2001,365,349,349,0.9561643835616438,0.9561643835616438
07071500,2002,365,322,322,0.8821917808219178,0.8821917808219178
07071500,2003,365,320,320,0.8767123287671232,0.8767123287671232
07071500,2004,366,310,310,0.8469945355191257,0.8469945355191257
07071500,2005,365,346,346,0.947945205479452,0.947945205479452
07071500,2006,365,340,340,0.9315068493150684,0.9315068493150684
07071500,2007,365,330,330,0.9041095890410958,0.9041095890410958
07071500,2008,366,337,337,0.9207650273224044,0.9207650273224044
07071500,2009,365,348,348,0.9534246575342465,0.9534246575342465
07071500,2010,365,356,356,0.9753424657534246,0.9753424657534246
07148400,1995,365,325,325,0.8904109589041096,0.8904109589041096
07148400,1996,366,315,315,0.860655737704918,0.860655737704918
07148400,1997,365,346,346,0.947945205479452,0.947945205479452
07148400,1998,365,342,342,0.936986301369863,0.936986301369863
07148400,1999,365,345,345,0.9452054794520548,0.9452054794520548
07148400,2000,366,327,327,0.8934426229508197,0.8934426229508197
07148400,2001,365,343,343,0.9397260273972603,0.9397260273972603
07148400,2002,365,344,344,0.9424657534246575,0.9424657534246575
07148400,2003,365,331,331,0.9068493150684932,0.9068493150684932
07148400,2004,366,319,319,0.8715846994535519,0.8715846994535519
07148400,2005,365,341,341,0.9342465753424658,0.9342465753424658
07148400,2006,365,344,344,0.9424657534246575,0.9424657534246575
07148400,2007,365,302,302,0.8273972602739726,0.8273972602739726
07148400,2008,366,300,300,0.819672131147541,0.819672131147541
07148400,2009,365,321,321,0.8794520547945206,0.8794520547945206
07148400,2010,365,276,276,0.7561643835616438,0.7561643835616438
07149000,1995,365,187,187,0.5123287671232877,0.5123287671232877
07149000,1996,366,290,290,0.7923497267759563,0.7923497267759563
07149000,1997,365,312,312,0.8547945205479452,0.8547945205479452
07149000,1998,365,333,333,0.9123287671232877,0.9123287671232877
07149000,1999,365,364,364,0.9972602739726028,0.9972602739726028
07149000,2000,366,333,333,0.9098360655737705,0.9098360655737705
07149000,2001,365,347,347,0.9506849315068493,0.9506849315068493
07149000,2002,365,353,353,0.9671232876712329,0.9671232876712329
07149000,2003,365,345,345,0.9452054794520548,0.9452054794520548
07149000,2004,366,347,347,0.9480874316939891,0.9480874316939891
07149000,2005,365,323,323,0.8849315068493151,0.8849315068493151
07149000,2006,365,337,337,0.9232876712328767,0.9232876712328767
07149000,2007,365,303,303,0.8301369863013699,0.8301369863013699
07149000,2008,366,312,312,0.8524590163934426,0.8524590163934426
07149000,2009,365,349,349,0.9561643835616438,0.9561643835616438
07149000,2010,365,326,326,0.8931506849315068,0.8931506849315068
07151500,1995,365,0,0,0.0,0.0
07151500,1996,366,7,7,0.01912568306010929,0.01912568306010929
07151500,1997,365,356,356,0.9753424657534246,0.9753424657534246
07151500,1998,365,348,348,0.9534246575342465,0.9534246575342465
07151500,1999,365,296,296,0.810958904109589,0.810958904109589
07151500,2000,366,324,324,0.8852459016393442,0.8852459016393442
07151500,2001,365,342,342,0.936986301369863,0.936986301369863
07151500,2002,365,339,339,0.9287671232876712,0.9287671232876712
07151500,2003,365,332,332,0.9095890410958904,0.9095890410958904
07151500,2004,366,321,321,0.8770491803278688,0.8770491803278688
07151500,2005,365,333,333,0.9123287671232877,0.9123287671232877
07151500,2006,365,232,232,0.6356164383561644,0.6356164383561644
07151500,2007,365,310,310,0.8493150684931506,0.8493150684931506
07151500,2008,366,335,335,0.9153005464480874,0.9153005464480874
07151500,2009,365,343,343,0.9397260273972603,0.9397260273972603
07151500,2010,365,333,333,0.9123287671232877,0.9123287671232877
07226500,1995,365,258,258,0.7068493150684931,0.7068493150684931
07226500,1996,366,122,122,0.3333333333333333,0.3333333333333333
07226500,1997,365,116,116,0.3178082191780822,0.3178082191780822
07226500,1998,365,214,214,0.5863013698630137,0.5863013698630137
07226500,1999,365,168,168,0.4602739726027397,0.4602739726027397
07226500,2000,366,352,352,0.9617486338797814,0.9617486338797814
07226500,2001,365,267,267,0.7315068493150685,0.7315068493150685
07226500,2002,365,72,72,0.19726027397260273,0.19726027397260273
07226500,2003,365,236,236,0.6465753424657534,0.6465753424657534
07226500,2004,366,153,153,0.4180327868852459,0.4180327868852459
07226500,2005,365,267,267,0.7315068493150685,0.7315068493150685
07226500,2006,365,315,315,0.863013698630137,0.863013698630137
07226500,2007,365,260,260,0.7123287671232876,0.7123287671232876
07226500,2008,366,273,273,0.7459016393442623,0.7459016393442623
07226500,2009,365,167,167,0.4575342465753425,0.4575342465753425
07226500,2010,365,151,151,0.4136986301369863,0.4136986301369863
07292500,1995,365,308,308,0.8438356164383561,0.8438356164383561
07292500,1996,366,300,300,0.819672131147541,0.819672131147541
07292500,1997,365,338,338,0.9260273972602739,0.9260273972602739
07292500,1998,365,327,327,0.8958904109589041,0.8958904109589041
07292500,1999,365,350,350,0.958904109589041,0.958904109589041
07292500,2000,366,341,341,0.9316939890710383,0.9316939890710383
07292500,2001,365,254,254,0.6958904109589041,0.6958904109589041
07292500,2002,365,307,307,0.8410958904109589,0.8410958904109589
07292500,2003,365,349,349,0.9561643835616438,0.9561643835616438
07292500,2004,366,360,360,0.9836065573770492,0.9836065573770492
07292500,2005,365,271,271,0.7424657534246575,0.7424657534246575
07292500,2006,365,195,195,0.5342465753424658,0.5342465753424658
07292500,2007,365,261,261,0.7150684931506849,0.7150684931506849
07292500,2008,366,251,251,0.6857923497267759,0.6857923497267759
